"Rank","StoreIndex","MappingIndex","Name","Bytes","MiB","Family","ProposedVerdict","Reason","ProofGate"
"1","368","184","Mono.Android.dll","41884984","39.945","ANDROID_PLATFORM","ANDROID_PLATFORM","Android framework binding/interop substrate.","Boot, lifecycle, Binder, Surface, IME, and recovery receipts."
"2","192","96","System.Private.CoreLib.dll","18663760","17.799","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"3","200","100","System.Private.Xml.dll","8924496","8.511","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"4","450","225","System.Management.Automation.dll","7232312","6.897","POWERSHELL","CORE_SMA","Runspace, parser, AST, pipelines, ETS, formatting, reflection.","Create runspace; parse; execute; format objects; recover."
"5","390","195","Microsoft.CodeAnalysis.CSharp.dll","6895408","6.576","ROSLYN","REMOVE","Roslyn compiler payload or satellite resource.","No Add-Type/Roslyn path; PS1->typed IL/RyuJIT smoke stays green."
"6","136","68","System.Linq.Expressions.dll","4861224","4.636","LANGUAGE_RUNTIME","CORE_EMIT","Expression compilation and SMA dynamic binding feed executable shapes to RyuJIT.","Compile and invoke an expression-generated delegate on Android."
"7","60","30","System.Data.Common.dll","3186000","3.038","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"8","388","194","Microsoft.CodeAnalysis.dll","3066128","2.924","ROSLYN","REMOVE","Roslyn compiler payload or satellite resource.","No Add-Type/Roslyn path; PS1->typed IL/RyuJIT smoke stays green."
"9","298","149","System.Text.Json.dll","2747688","2.62","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"10","276","138","System.Security.Cryptography.dll","2543952","2.426","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"11","474","237","System.ServiceModel.Primitives.dll","2392136","2.281","NON_ANDROID_CARGO","REMOVE_CANDIDATE","Windows/enterprise/desktop capability not admitted to Android core.","Reference proof plus isolated omission smoke."
"12","194","97","System.Private.DataContractSerialization.dll","2365224","2.256","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
"13","148","74","System.Net.Http.dll","1951528","1.861","NETWORK","CORE_NETWORK","CDN/client reach is a first-class runtime capability.","Fetch a local and remote artifact with HttpClient on Android."
"14","134","67","System.Linq.AsyncEnumerable.dll","1635112","1.559","BCL","UNPROVEN_BCL","Framework assembly; keep only with explicit reference/capability evidence.","Static reference closure plus boot/runspace/console/integration smoke."
